id,name,lat,lon,strategy,source
way/185704725,St. Michael's Church Cumnor,51.7340167,-1.3331003,A4,osm
way/185786783,St Michael's,51.025503,-3.2537209,A4,osm
way/186236598,"St Michael & All Angels, Guiting Power",51.9192709,-1.8623939,A4,osm
way/186524185,Church of St Michael Archangel,51.3401292,-1.369473,A4,osm
way/188982667,St Michael's Church,52.4140692,-4.0882536,A4,osm
way/190004522,Church of St Michael and St Felix,52.384588,1.4467642,A4,osm
way/190005326,"Saint Michael, South Elmham",52.4033734,1.440752,A4,osm
way/190332742,St Michael & All Angels,51.046246,0.1903731,A4,osm
way/191204038,Saint Michael,52.0834,-1.4509473,A4,osm
way/191743221,St Michael and All Angels,51.6309733,-1.7107339,A4,osm
way/193105945,Saint Michael,52.582049,0.7322894,A4,osm
way/194765062,Saint Michael and All Angels,52.4913989,1.1295412,A4,osm
way/195364672,Saint Michael,51.9574041,-1.1189846,A4,osm
way/196011197,St Michael,53.1555666,-1.6488966,A4,osm
way/196522883,St. Michael and All Angels,52.1267958,-0.4552021,A4,osm
way/199113345,St. Michael and All Angels Church,53.1925118,-2.4446541,A4,osm
way/201719084,St Michael & All Angels,52.4469743,-2.1672934,A4,osm
way/202164403,Saint Michael & All Angels,52.0257594,-2.4809811,A4,osm
way/202270693,St Michael's,51.5707814,-1.1976571,A4,osm
way/202308065,St Michael's,50.3115673,-3.6304821,A4,osm
way/203309464,St Michael and all Angels,52.7835984,-0.4266165,A4,osm
way/203477515,St Michael and All Angels' Church,50.2733657,-3.6736239,A4,osm
way/204549684,St Michael's Church,52.5691527,-2.1609757,A4,osm
way/204985087,Saint Michael,51.9348016,-2.5817919,A4,osm
way/205052257,St Michael,52.2877167,-1.6225091,A4,osm
way/205329276,St Michael & All Angels with St Catherine,53.476979,-2.371227,A4,osm
way/206680067,St. Michael & All Angels,51.5876258,0.2015475,A4,osm
way/207249928,St Michael & All Angels,50.762356,-1.7001837,A4,osm
way/207483033,Saint Michael and All Angels,52.6003456,-2.1619595,A4,osm
way/207522971,"St Michael’s, Sollers Hope",51.995143,-2.5657751,A4,osm
way/207705077,St. Michael and All Angels,50.9446203,-1.405341,A4,osm
way/209243851,Church of Saint Michael and All Angels,52.2883099,-2.6132992,A4,osm
way/209432008,St Michael,50.6778233,-3.5919869,A4,osm
way/211045575,St Michael and All Angels,51.3982338,-0.972413,A4,osm
way/211655553,Saint Michael,51.7778758,-2.9492551,A4,osm
way/211807336,Saint Michael's Church,51.0576664,-1.3161544,A4,osm
way/214782401,Saint Michael's Church,51.7925304,-3.9895239,A4,osm
way/215524555,St Michael's,52.7982108,-3.129538,A4,osm
way/217043145,St Michael,52.2935969,1.1598721,A4,osm
way/217387693,Saint Michael and All Angels,52.7573855,1.1446639,A4,osm
way/217470569,St Michael's,52.3892146,-0.9555197,A4,osm
way/217777898,St Michael & All Angels,52.5594774,-1.2484393,A4,osm
way/217803097,St Michael & All Angels,52.2564442,-1.4467217,A4,osm
way/217814580,Church of St Michael,50.9014476,-2.0214885,A4,osm
way/218277622,St. Michael and All Angels,51.3318082,-2.1869102,A4,osm
way/218725800,St. Michael & All Angels (Abington Pigotts Parish Church),52.0849627,-0.0977524,A4,osm
way/219036714,St Michael & All Angels,52.5707242,-1.4844367,A4,osm
way/219246968,St Michael's,51.4582933,-2.7674106,A4,osm
way/219474659,Our Lady and St. Michael's Catholic Church,51.6914479,-0.3880128,A4,osm
way/219554151,Our Lady & St. Michael,53.0256718,-2.1620159,A4,osm
