lat,lon
50.5582968,-4.2773724
50.5590193,-4.2766857
50.5596464,-4.275291
50.5600281,-4.2740679
50.5600826,-4.2731452
50.5601507,-4.2709565
50.5600553,-4.2690253
50.5598372,-4.2675447
50.5591556,-4.265914
50.5577652,-4.2636824
50.5561429,-4.2622018
50.5547388,-4.261086
50.5539344,-4.2599702
50.5534027,-4.2587256
50.5534027,-4.2575669
50.5535527,-4.2561293
50.5538935,-4.2548418
50.5548342,-4.2527819
50.5558703,-4.2515159
50.5573562,-4.250679
50.5600144,-4.2499065
50.5616365,-4.2485547
50.5621545,-4.2478466
50.5625089,-4.2468596
50.5625907,-4.2459369
50.5626316,-4.2444563
50.5622772,-4.2404652
50.5617728,-4.238255
50.5615275,-4.2376113
50.560805,-4.2362165
50.5595373,-4.2349076
50.5586922,-4.2341137
50.557438,-4.2330623
50.5564838,-4.232204
50.5555976,-4.230938
50.5553522,-4.2301226
50.5543434,-4.2276549
50.5529937,-4.2255306
50.5519576,-4.2235994
50.5515349,-4.2226982
50.5514804,-4.2213678
50.5517394,-4.2197156
50.5524893,-4.2174625
50.5531437,-4.2164755
50.5537299,-4.2157459
50.5562656,-4.2132783
50.5590329,-4.2104244
50.5603825,-4.2095447
50.5638856,-4.209373
50.5659846,-4.2093301
50.5677019,-4.2095876
50.5687922,-4.2099953
50.5714225,-4.2110252
50.5724991,-4.2116475
50.574189,-4.2135572
50.5758378,-4.2156386
50.5767236,-4.2165184
50.5772141,-4.2175698
50.5775139,-4.2182994
50.5785767,-4.2211103
50.5792035,-4.2226982
50.5800756,-4.2238998
50.5810839,-4.2247152
50.5825826,-4.225831
50.5832639,-4.2258739
50.5851168,-4.2250586
50.5871604,-4.2229128
50.5879505,-4.221282
50.5883865,-4.2200375
50.590103,-4.214201
50.5907024,-4.2113256
50.5916014,-4.2031288
50.5916014,-4.2031288
50.5922689,-4.1991913
50.5931952,-4.1957796
50.5942781,-4.1925716
50.5950818,-4.1902328
50.5957833,-4.1879582
50.5989705,-4.1794181
50.6005777,-4.1759419
50.602103,-4.1725731
50.6031926,-4.1705132
50.6035603,-4.1695261
50.6042003,-4.1677451
50.6043365,-4.1664791
50.6042344,-4.1653526
50.6040914,-4.1644943
50.6036828,-4.1632068
50.603356,-4.1625738
50.6031653,-4.1621876
50.6022528,-4.1605997
50.6013472,-4.1583359
50.6007615,-4.1555679
50.6008364,-4.1543019
50.6010475,-4.1535616
50.6014834,-4.1532934
50.6022188,-4.1528535
50.602961,-4.1522741
50.6031449,-4.1520381
50.604568,-4.1512012
50.6071827,-4.1513729
50.6097428,-4.152317
50.6112951,-4.1521454
50.6118125,-4.1516304
50.6126295,-4.1500425
50.6128746,-4.1485405
50.6127112,-4.1474676
50.6120849,-4.1463518
50.6120849,-4.1452789
50.6123572,-4.1445065
50.6128474,-4.1436481
50.6136371,-4.1433048
50.614917,-4.1428757
50.6164691,-4.1424894
50.6175311,-4.1426611
50.6181301,-4.1427469
50.6198728,-4.1435623
50.6211525,-4.1440773
50.6223232,-4.144206
50.623739,-4.1436052
50.6246919,-4.1425323
50.6258081,-4.1404724
50.6265976,-4.1375971
50.6270877,-4.1347218
50.6276049,-4.1309452
50.6278227,-4.125495
50.628095,-4.1216755
50.6285441,-4.1197872
50.6289049,-4.1195726
50.6292656,-4.1195726
50.6301639,-4.1202593
50.6311167,-4.1204739
50.6317428,-4.1197443
50.6325866,-4.1190147
50.6331582,-4.1185427
50.6337299,-4.1176844
50.6342879,-4.1177916
50.6346962,-4.1179418
50.635227,-4.1177273
50.6359074,-4.1170406
50.636479,-4.1160107
50.6370642,-4.1156888
50.637976,-4.115324
50.6382754,-4.115324
50.638602,-4.114852
50.6389286,-4.1134787
50.6391192,-4.1125131
50.6400717,-4.1121054
50.6415686,-4.11129
50.6428477,-4.1101742
50.6439091,-4.1083717
50.6452018,-4.1078996
50.6458549,-4.1075778
50.6464127,-4.1072023
50.6474876,-4.1062421
50.647906,-4.1056801
50.6480387,-4.1053328
50.6481951,-4.1048097
50.6485353,-4.1035223
50.6487666,-4.1022992
50.6488891,-4.1010332
50.6489435,-4.0999603
50.6490795,-4.0970421
50.6487802,-4.0942097
50.6483176,-4.0919352
50.6482904,-4.0908838
50.6483992,-4.0898323
50.6485897,-4.0871286
50.6488618,-4.0846825
50.6489163,-4.082687
50.6492428,-4.0803481
50.6494877,-4.0780305
50.6497326,-4.0754985
50.6497326,-4.0754985
50.650168,-4.0703487
50.6513108,-4.0646839
50.6529434,-4.058075
50.6565348,-4.0488911
50.6588746,-4.0434837
50.6637169,-4.0368748
50.666845,-4.0325513
50.6691843,-4.0296653
50.6721762,-4.0257382
50.674284,-4.0231848
50.6761876,-4.0216182
50.6769593,-4.0211248
50.6773656,-4.0208137
50.6775755,-4.0206045
50.677765,-4.0203631
50.678608,-4.0192849
50.679519,-4.0183998
50.6800731,-4.0179787
50.680668,-4.0176219
50.6817829,-4.0171123
50.6833242,-4.0159911
50.6848588,-4.0149343
50.6862846,-4.0141135
50.6893961,-4.0130997
50.6909288,-4.0123058
50.6918701,-4.0112436
50.6947178,-4.0060616
50.6970557,-3.9984226
50.6982246,-3.9952577
50.6992099,-3.9917815
50.7012078,-3.9856231
50.7019298,-3.984097
50.7028557,-3.9829571
50.704782,-3.9826512
50.7064874,-3.9821577
50.7082132,-3.9824688
50.7107338,-3.9827104
